# Constructed from biom file
#OTU ID	s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12
o19	217.0	190.0	185.0	144.0	161.0	146.0	112.0	119.0	129.0	139.0	207.0	177.0	288.0
o20	146.0	207.0	230.0	234.0	0.0	128.0	121.0	17.0	52.0	100.0	200.0	228.0	0.0
o21	226.0	208.0	140.0	41.0	34.0	53.0	136.0	157.0	258.0	271.0	246.0	159.0	87.0
o22	253.0	210.0	137.0	4.0	106.0	140.0	235.0	211.0	227.0	207.0	228.0	200.0	134.0
o23	0.0	162.0	0.0	35.0	9.0	53.0	129.0	0.0	0.0	210.0	257.0	190.0	116.0
o24	133.0	204.0	225.0	204.0	168.0	53.0	20.0	28.0	112.0	189.0	210.0	218.0	192.0
o25	190.0	220.0	203.0	207.0	156.0	118.0	46.0	31.0	138.0	208.0	284.0	219.0	133.0
o26	0.0	240.0	275.0	213.0	0.0	51.0	22.0	37.0	0.0	202.0	209.0	187.0	136.0
o27	174.0	157.0	35.0	52.0	99.0	184.0	173.0	268.0	241.0	217.0	51.0	62.0	72.0
o28	162.0	178.0	114.0	24.0	51.0	146.0	233.0	240.0	271.0	107.0	79.0	116.0	37.0
o29	264.0	0.0	109.0	41.0	0.0	127.0	176.0	253.0	279.0	161.0	0.0	60.0	67.0
o30	144.0	212.0	252.0	206.0	60.0	67.0	149.0	175.0	215.0	130.0	97.0	36.0	90.0
o31	213.0	240.0	221.0	260.0	197.0	22.0	92.0	201.0	202.0	193.0	11.0	14.0	112.0
o32	0.0	243.0	249.0	165.0	0.0	0.0	130.0	206.0	226.0	221.0	0.0	61.0	124.0
o33	174.0	35.0	22.0	159.0	212.0	206.0	189.0	115.0	101.0	130.0	262.0	287.0	198.0
o34	53.0	59.0	64.0	184.0	246.0	236.0	158.0	119.0	47.0	49.0	70.0	229.0	210.0
o35	0.0	0.0	109.0	0.0	243.0	221.0	178.0	103.0	35.0	110.0	188.0	253.0	206.0
o36	189.0	206.0	194.0	1.0	164.0	204.0	177.0	17.0	67.0	249.0	222.0	66.0	77.0
o37	174.0	234.0	177.0	39.0	22.0	138.0	211.0	276.0	106.0	78.0	110.0	141.0	162.0
o38	0.0	200.0	118.0	19.0	144.0	0.0	169.0	16.0	79.0	281.0	239.0	13.0	93.0
o39	41.0	173.0	281.0	148.0	83.0	118.0	232.0	199.0	75.0	110.0	249.0	176.0	79.0
o40	30.0	74.0	240.0	246.0	227.0	163.0	19.0	172.0	271.0	161.0	102.0	145.0	207.0
o41	45.0	0.0	212.0	210.0	78.0	84.0	227.0	0.0	104.0	63.0	276.0	0.0	25.0
o42	197.0	167.0	168.0	165.0	193.0	195.0	263.0	231.0	211.0	205.0	236.0	227.0	230.0
o43	225.0	153.0	106.0	214.0	212.0	127.0	185.0	74.0	209.0	243.0	193.0	247.0	147.0
o44	119.0	162.0	0.0	164.0	206.0	0.0	220.0	192.0	227.0	192.0	245.0	0.0	0.0
o45	298.0	275.0	217.0	205.0	255.0	200.0	217.0	241.0	172.0	231.0	178.0	142.0	172.0
o46	236.0	140.0	158.0	130.0	151.0	193.0	97.0	203.0	248.0	94.0	58.0	200.0	99.0
o47	250.0	242.0	0.0	210.0	224.0	228.0	186.0	260.0	203.0	173.0	186.0	175.0	135.0
o48	125.0	134.0	235.0	248.0	260.0	214.0	205.0	198.0	259.0	184.0	226.0	191.0	180.0
o49	113.0	115.0	249.0	221.0	56.0	25.0	39.0	247.0	20.0	225.0	87.0	152.0	113.0
o50	123.0	154.0	228.0	248.0	263.0	0.0	291.0	292.0	210.0	219.0	176.0	218.0	186.0
o51	112.0	99.0	125.0	85.0	19.0	29.0	58.0	8.0	93.0	60.0	94.0	86.0	112.0
o52	114.0	139.0	167.0	190.0	86.0	176.0	12.0	289.0	8.0	67.0	259.0	115.0	142.0
o53	171.0	77.0	67.0	100.0	50.0	72.0	26.0	6.0	0.0	80.0	0.0	0.0	159.0
o54	124.0	178.0	272.0	244.0	254.0	248.0	114.0	102.0	55.0	21.0	18.0	75.0	158.0
o55	252.0	202.0	252.0	292.0	204.0	190.0	203.0	113.0	93.0	112.0	2.0	82.0	124.0
o56	0.0	230.0	226.0	277.0	267.0	160.0	153.0	93.0	115.0	48.0	93.0	116.0	177.0
o57	119.0	161.0	190.0	224.0	215.0	244.0	184.0	118.0	116.0	65.0	21.0	41.0	142.0
o58	155.0	162.0	239.0	241.0	220.0	221.0	227.0	221.0	67.0	38.0	16.0	98.0	95.0
o59	176.0	161.0	0.0	236.0	237.0	175.0	140.0	126.0	0.0	0.0	30.0	110.0	0.0
o60	105.0	255.0	254.0	151.0	56.0	100.0	180.0	212.0	277.0	207.0	111.0	25.0	87.0
o61	188.0	227.0	250.0	182.0	62.0	32.0	81.0	86.0	144.0	236.0	240.0	164.0	25.0
o62	146.0	250.0	247.0	182.0	119.0	94.0	0.0	0.0	272.0	0.0	131.0	6.0	120.0
o63	122.0	210.0	204.0	123.0	45.0	98.0	109.0	227.0	245.0	151.0	121.0	71.0	72.0
o64	209.0	265.0	212.0	189.0	217.0	83.0	107.0	253.0	172.0	140.0	70.0	93.0	107.0
o65	295.0	223.0	254.0	202.0	247.0	228.0	275.0	235.0	205.0	298.0	266.0	296.0	226.0
o66	292.0	280.0	217.0	201.0	266.0	265.0	287.0	219.0	260.0	293.0	299.0	296.0	239.0
o67	294.0	0.0	286.0	280.0	0.0	269.0	289.0	277.0	0.0	279.0	224.0	257.0	256.0
o68	248.0	224.0	297.0	289.0	296.0	268.0	222.0	210.0	252.0	245.0	211.0	287.0	228.0
o69	245.0	248.0	228.0	241.0	296.0	263.0	277.0	226.0	277.0	274.0	246.0	219.0	299.0
o70	258.0	297.0	265.0	277.0	274.0	287.0	210.0	0.0	236.0	228.0	204.0	230.0	0.0
o71	210.0	268.0	210.0	255.0	217.0	216.0	239.0	283.0	270.0	202.0	212.0	202.0	258.0
o72	260.0	294.0	246.0	262.0	298.0	259.0	228.0	274.0	247.0	267.0	244.0	264.0	239.0
o73	223.0	297.0	0.0	0.0	279.0	296.0	0.0	250.0	251.0	276.0	237.0	202.0	297.0
o74	270.0	202.0	216.0	263.0	264.0	236.0	292.0	257.0	253.0	274.0	30.0	63.0	6.0
o75	249.0	205.0	247.0	272.0	242.0	222.0	211.0	277.0	229.0	253.0	37.0	3.0	46.0
o76	294.0	231.0	285.0	0.0	240.0	297.0	293.0	0.0	0.0	236.0	85.0	84.0	61.0
o77	235.0	211.0	267.0	299.0	269.0	277.0	228.0	20.0	3.0	83.0	4.0	43.0	66.0
o78	253.0	209.0	242.0	260.0	223.0	228.0	206.0	33.0	85.0	8.0	2.0	82.0	97.0
o79	203.0	201.0	0.0	285.0	270.0	251.0	205.0	78.0	0.0	80.0	9.0	0.0	10.0
o80	269.0	266.0	283.0	243.0	15.0	51.0	57.0	82.0	50.0	67.0	202.0	207.0	223.0
o81	249.0	239.0	223.0	285.0	211.0	0.0	5.0	88.0	75.0	5.0	200.0	245.0	272.0
o82	0.0	0.0	239.0	256.0	74.0	20.0	0.0	22.0	0.0	13.0	234.0	0.0	288.0
o83	209.0	221.0	207.0	293.0	265.0	43.0	42.0	91.0	14.0	12.0	299.0	279.0	205.0
o84	210.0	262.0	232.0	204.0	220.0	277.0	257.0	53.0	47.0	47.0	63.0	13.0	260.0
o85	0.0	239.0	200.0	286.0	259.0	50.0	99.0	0.0	53.0	69.0	293.0	0.0	0.0
o86	207.0	216.0	63.0	41.0	7.0	60.0	81.0	238.0	283.0	260.0	226.0	225.0	99.0
o87	279.0	229.0	47.0	82.0	91.0	59.0	11.0	18.0	81.0	251.0	231.0	267.0	79.0
o88	296.0	299.0	42.0	0.0	2.0	41.0	96.0	0.0	0.0	264.0	225.0	207.0	65.0
o89	225.0	272.0	246.0	212.0	202.0	59.0	79.0	38.0	84.0	248.0	283.0	298.0	256.0
o90	239.0	229.0	285.0	222.0	58.0	91.0	94.0	65.0	66.0	275.0	204.0	223.0	207.0
o91	236.0	255.0	203.0	283.0	282.0	92.0	0.0	0.0	0.0	203.0	235.0	215.0	281.0
o92	218.0	204.0	97.0	64.0	13.0	67.0	260.0	267.0	213.0	281.0	93.0	89.0	29.0
o93	256.0	279.0	61.0	34.0	96.0	10.0	296.0	277.0	284.0	289.0	27.0	56.0	67.0
o94	211.0	232.0	0.0	28.0	30.0	77.0	290.0	210.0	215.0	278.0	86.0	0.0	87.0
o95	258.0	213.0	279.0	224.0	13.0	25.0	57.0	278.0	233.0	277.0	5.0	49.0	18.0
o96	291.0	270.0	250.0	259.0	59.0	256.0	292.0	206.0	74.0	75.0	81.0	39.0	51.0
o97	287.0	260.0	0.0	0.0	77.0	0.0	0.0	212.0	221.0	284.0	0.0	74.0	16.0
o98	35.0	90.0	92.0	28.0	239.0	246.0	203.0	54.0	46.0	49.0	242.0	297.0	205.0
o99	79.0	57.0	30.0	65.0	285.0	271.0	244.0	232.0	61.0	37.0	29.0	212.0	243.0
o100	84.0	90.0	95.0	58.0	219.0	241.0	242.0	57.0	89.0	0.0	251.0	243.0	206.0
o101	220.0	210.0	264.0	40.0	75.0	230.0	222.0	95.0	51.0	289.0	291.0	71.0	0.0
o102	291.0	258.0	2.0	18.0	67.0	225.0	38.0	43.0	8.0	65.0	237.0	276.0	52.0
o103	200.0	0.0	292.0	78.0	16.0	265.0	235.0	0.0	77.0	253.0	225.0	0.0	53.0
o104	76.0	61.0	267.0	272.0	73.0	53.0	239.0	202.0	28.0	62.0	274.0	211.0	78.0
o105	241.0	275.0	290.0	30.0	79.0	0.0	243.0	210.0	232.0	25.0	20.0	275.0	42.0
o106	0.0	25.0	267.0	273.0	48.0	0.0	237.0	0.0	0.0	0.0	0.0	289.0	54.0
o107	245.0	219.0	202.0	296.0	217.0	233.0	295.0	296.0	205.0	293.0	221.0	278.0	207.0
o108	278.0	35.0	75.0	239.0	73.0	61.0	282.0	248.0	274.0	9.0	215.0	0.0	219.0
o109	208.0	247.0	221.0	0.0	296.0	262.0	207.0	219.0	0.0	0.0	0.0	201.0	0.0
o110	209.0	297.0	247.0	288.0	267.0	237.0	253.0	297.0	221.0	259.0	228.0	232.0	287.0
o111	60.0	15.0	22.0	39.0	286.0	292.0	49.0	58.0	4.0	43.0	90.0	13.0	76.0
o112	227.0	0.0	0.0	0.0	281.0	292.0	256.0	209.0	223.0	0.0	283.0	267.0	252.0
o113	228.0	214.0	280.0	289.0	234.0	277.0	233.0	269.0	208.0	227.0	229.0	267.0	246.0
o114	28.0	11.0	51.0	244.0	99.0	75.0	71.0	76.0	287.0	207.0	7.0	276.0	290.0
o115	247.0	214.0	275.0	239.0	0.0	264.0	206.0	0.0	0.0	0.0	229.0	285.0	243.0
o116	39.0	79.0	47.0	75.0	98.0	55.0	55.0	11.0	46.0	59.0	27.0	14.0	52.0
o117	228.0	224.0	44.0	261.0	224.0	266.0	25.0	81.0	61.0	4.0	72.0	2.0	220.0
o118	0.0	55.0	21.0	61.0	28.0	22.0	49.0	73.0	0.0	0.0	36.0	48.0	34.0
o119	205.0	246.0	231.0	272.0	219.0	239.0	234.0	81.0	28.0	49.0	47.0	60.0	39.0
o120	205.0	252.0	293.0	224.0	291.0	285.0	244.0	275.0	27.0	98.0	65.0	70.0	90.0
o121	225.0	241.0	0.0	212.0	0.0	232.0	252.0	58.0	28.0	0.0	9.0	20.0	7.0
o122	200.0	207.0	234.0	216.0	256.0	207.0	296.0	87.0	41.0	10.0	90.0	21.0	40.0
o123	256.0	280.0	275.0	276.0	204.0	237.0	236.0	56.0	11.0	87.0	99.0	13.0	70.0
o124	230.0	232.0	211.0	250.0	267.0	215.0	294.0	0.0	57.0	0.0	59.0	72.0	27.0
o125	288.0	274.0	206.0	298.0	22.0	7.0	25.0	259.0	282.0	245.0	69.0	18.0	40.0
o126	261.0	245.0	219.0	250.0	236.0	55.0	31.0	7.0	277.0	295.0	22.0	81.0	66.0
o127	216.0	241.0	226.0	289.0	34.0	55.0	74.0	203.0	235.0	209.0	23.0	88.0	0.0
o128	242.0	254.0	250.0	228.0	23.0	94.0	0.0	235.0	258.0	232.0	84.0	87.0	65.0
o129	222.0	208.0	17.0	59.0	96.0	27.0	270.0	250.0	211.0	93.0	44.0	3.0	56.0
o130	208.0	295.0	229.0	294.0	227.0	281.0	258.0	291.0	255.0	215.0	164.0	158.0	172.0
o131	231.0	265.0	221.0	250.0	282.0	298.0	256.0	284.0	259.0	267.0	225.0	232.0	197.0
o132	256.0	283.0	266.0	0.0	235.0	283.0	288.0	232.0	244.0	197.0	227.0	227.0	0.0
o133	245.0	229.0	262.0	207.0	221.0	283.0	265.0	204.0	201.0	218.0	187.0	176.0	88.0
o134	232.0	222.0	230.0	277.0	222.0	286.0	207.0	262.0	240.0	221.0	236.0	172.0	128.0
o135	283.0	246.0	0.0	200.0	202.0	227.0	233.0	255.0	184.0	203.0	0.0	167.0	79.0
o136	229.0	274.0	291.0	200.0	216.0	207.0	249.0	277.0	204.0	192.0	115.0	71.0	80.0
o137	281.0	212.0	277.0	200.0	265.0	213.0	277.0	286.0	255.0	213.0	118.0	101.0	80.0
o138	0.0	207.0	236.0	204.0	227.0	243.0	266.0	246.0	188.0	155.0	179.0	0.0	11.0
o139	203.0	275.0	239.0	222.0	203.0	50.0	58.0	204.0	142.0	58.0	90.0	9.0	46.0
o140	240.0	269.0	286.0	218.0	254.0	26.0	60.0	219.0	175.0	108.0	72.0	86.0	41.0
o141	0.0	262.0	229.0	236.0	289.0	80.0	44.0	0.0	175.0	0.0	36.0	0.0	79.0
o142	209.0	223.0	264.0	274.0	18.0	89.0	49.0	272.0	152.0	75.0	70.0	102.0	218.0
o143	204.0	214.0	203.0	25.0	3.0	58.0	58.0	178.0	79.0	45.0	121.0	221.0	268.0
o144	0.0	226.0	256.0	222.0	92.0	1.0	52.0	275.0	189.0	76.0	0.0	164.0	0.0
o145	219.0	216.0	51.0	64.0	64.0	217.0	281.0	58.0	18.0	78.0	224.0	208.0	186.0
o146	289.0	7.0	81.0	73.0	24.0	236.0	227.0	126.0	54.0	39.0	77.0	132.0	170.0
o147	278.0	272.0	76.0	67.0	15.0	200.0	275.0	68.0	33.0	100.0	0.0	286.0	236.0
o148	257.0	289.0	257.0	29.0	33.0	291.0	230.0	195.0	142.0	94.0	152.0	240.0	196.0
o149	282.0	283.0	202.0	45.0	31.0	263.0	210.0	205.0	112.0	45.0	194.0	279.0	262.0
o150	223.0	0.0	0.0	91.0	76.0	229.0	0.0	206.0	0.0	91.0	116.0	192.0	210.0
o151	203.0	28.0	37.0	62.0	215.0	270.0	33.0	114.0	64.0	175.0	217.0	175.0	32.0
o152	244.0	82.0	23.0	22.0	210.0	263.0	281.0	122.0	28.0	178.0	256.0	215.0	115.0
o153	210.0	19.0	21.0	13.0	206.0	228.0	0.0	67.0	0.0	179.0	225.0	183.0	0.0
o154	201.0	224.0	215.0	4.0	10.0	239.0	272.0	239.0	122.0	44.0	180.0	204.0	115.0
o155	261.0	209.0	236.0	29.0	20.0	233.0	274.0	236.0	164.0	37.0	197.0	205.0	146.0
o156	271.0	292.0	285.0	62.0	0.0	219.0	214.0	0.0	101.0	95.0	190.0	278.0	70.0
o157	245.0	27.0	22.0	232.0	225.0	9.0	30.0	23.0	144.0	262.0	160.0	80.0	95.0
o158	284.0	81.0	46.0	212.0	264.0	270.0	88.0	63.0	209.0	188.0	152.0	22.0	12.0
o159	241.0	40.0	0.0	220.0	234.0	31.0	14.0	21.0	0.0	274.0	190.0	18.0	127.0
o160	279.0	234.0	66.0	1.0	290.0	20.0	96.0	160.0	28.0	181.0	243.0	49.0	159.0
o161	240.0	212.0	36.0	276.0	212.0	28.0	37.0	211.0	49.0	275.0	170.0	35.0	124.0
o162	0.0	213.0	23.0	56.0	211.0	15.0	0.0	0.0	71.0	161.0	0.0	57.0	147.0
o163	83.0	79.0	219.0	273.0	25.0	293.0	253.0	134.0	223.0	151.0	76.0	253.0	91.0
o164	22.0	37.0	282.0	81.0	72.0	265.0	282.0	117.0	268.0	195.0	268.0	175.0	110.0
o165	64.0	5.0	0.0	224.0	45.0	0.0	263.0	0.0	261.0	0.0	0.0	244.0	181.0
o166	288.0	227.0	82.0	269.0	88.0	266.0	8.0	203.0	165.0	213.0	157.0	161.0	66.0
o167	254.0	257.0	24.0	260.0	42.0	298.0	83.0	116.0	139.0	247.0	70.0	110.0	58.0
o168	0.0	279.0	0.0	233.0	0.0	217.0	0.0	168.0	146.0	0.0	131.0	157.0	90.0
o169	82.0	290.0	0.0	259.0	26.0	264.0	10.0	210.0	15.0	224.0	82.0	200.0	69.0
o170	75.0	263.0	13.0	248.0	16.0	281.0	280.0	204.0	160.0	103.0	114.0	63.0	5.0
o171	54.0	0.0	55.0	229.0	88.0	0.0	0.0	235.0	93.0	0.0	88.0	278.0	95.0
o172	288.0	234.0	256.0	286.0	216.0	236.0	291.0	266.0	204.0	273.0	253.0	159.0	195.0
o173	53.0	290.0	265.0	227.0	89.0	268.0	89.0	119.0	194.0	67.0	250.0	275.0	275.0
o174	204.0	264.0	0.0	234.0	211.0	287.0	242.0	243.0	263.0	0.0	187.0	202.0	129.0
o175	277.0	297.0	286.0	239.0	263.0	202.0	226.0	141.0	132.0	67.0	116.0	87.0	2.0
o176	245.0	50.0	299.0	244.0	290.0	271.0	230.0	7.0	34.0	108.0	89.0	173.0	239.0
o177	214.0	230.0	238.0	270.0	295.0	0.0	247.0	0.0	0.0	92.0	56.0	0.0	3.0
o178	282.0	232.0	288.0	285.0	236.0	204.0	246.0	210.0	175.0	143.0	154.0	69.0	21.0
o179	263.0	277.0	10.0	18.0	200.0	241.0	61.0	72.0	247.0	93.0	148.0	192.0	84.0
o180	273.0	0.0	218.0	211.0	0.0	211.0	276.0	246.0	0.0	175.0	0.0	0.0	52.0
o181	7.0	68.0	91.0	4.0	18.0	52.0	71.0	63.0	64.0	126.0	195.0	190.0	290.0
o182	268.0	215.0	53.0	204.0	9.0	96.0	42.0	91.0	46.0	89.0	123.0	199.0	195.0
o183	40.0	94.0	63.0	9.0	0.0	0.0	66.0	73.0	0.0	123.0	140.0	252.0	266.0
o184	233.0	230.0	293.0	239.0	7.0	63.0	79.0	284.0	133.0	69.0	41.0	115.0	202.0
o185	298.0	254.0	267.0	226.0	270.0	92.0	12.0	171.0	158.0	38.0	12.0	91.0	185.0
o186	223.0	0.0	294.0	0.0	0.0	75.0	47.0	0.0	111.0	45.0	72.0	179.0	212.0
o187	226.0	218.0	231.0	249.0	36.0	85.0	89.0	193.0	114.0	57.0	13.0	174.0	210.0
o188	299.0	229.0	234.0	214.0	84.0	79.0	77.0	262.0	212.0	84.0	92.0	176.0	203.0
o189	215.0	239.0	259.0	263.0	18.0	95.0	0.0	264.0	158.0	0.0	83.0	150.0	252.0
o190	275.0	202.0	5.0	13.0	227.0	39.0	85.0	197.0	36.0	179.0	240.0	31.0	198.0
o191	216.0	257.0	20.0	275.0	284.0	72.0	99.0	91.0	76.0	236.0	169.0	33.0	244.0
o192	223.0	0.0	48.0	0.0	0.0	0.0	53.0	204.0	0.0	217.0	206.0	0.0	194.0
o193	285.0	213.0	47.0	97.0	263.0	13.0	81.0	192.0	88.0	229.0	261.0	99.0	132.0
o194	246.0	275.0	81.0	263.0	262.0	253.0	62.0	202.0	77.0	263.0	221.0	79.0	140.0
o195	31.0	36.0	29.0	35.0	39.0	43.0	48.0	46.0	46.0	58.0	60.0	57.0	68.0
o196	30.0	35.0	29.0	33.0	39.0	44.0	45.0	53.0	59.0	57.0	58.0	58.0	62.0
o197	34.0	0.0	33.0	33.0	0.0	41.0	40.0	47.0	52.0	0.0	56.0	60.0	64.0
o198	40.0	36.0	41.0	48.0	52.0	54.0	55.0	53.0	62.0	66.0	62.0	66.0	68.0
o199	32.0	40.0	40.0	37.0	46.0	51.0	52.0	56.0	65.0	61.0	69.0	71.0	74.0
o200	37.0	40.0	40.0	48.0	0.0	53.0	54.0	56.0	0.0	63.0	70.0	69.0	70.0
o201	30.0	29.0	39.0	40.0	55.0	59.0	61.0	71.0	79.0	79.0	88.0	85.0	94.0
o202	33.0	38.0	32.0	33.0	41.0	44.0	48.0	56.0	57.0	66.0	66.0	82.0	92.0
o203	0.0	35.0	40.0	42.0	0.0	59.0	62.0	70.0	70.0	84.0	86.0	94.0	89.0
o204	40.0	48.0	60.0	68.0	70.0	71.0	82.0	89.0	91.0	96.0	93.0	98.0	106.0
o205	51.0	52.0	59.0	78.0	78.0	83.0	82.0	89.0	88.0	96.0	100.0	98.0	99.0
o206	45.0	49.0	53.0	0.0	72.0	0.0	86.0	88.0	89.0	89.0	98.0	104.0	0.0
o207	27.0	40.0	50.0	66.0	77.0	87.0	91.0	101.0	99.0	103.0	103.0	106.0	113.0
o208	31.0	46.0	50.0	72.0	79.0	83.0	98.0	99.0	99.0	99.0	108.0	112.0	110.0
o209	0.0	38.0	49.0	66.0	79.0	84.0	97.0	103.0	100.0	0.0	109.0	0.0	106.0
o210	60.0	81.0	87.0	96.0	104.0	104.0	107.0	107.0	104.0	107.0	114.0	107.0	110.0
o211	70.0	74.0	88.0	93.0	99.0	99.0	108.0	109.0	109.0	112.0	112.0	111.0	108.0
o212	64.0	71.0	90.0	97.0	103.0	102.0	0.0	0.0	110.0	104.0	112.0	109.0	0.0
o213	34.0	38.0	56.0	72.0	82.0	94.0	97.0	107.0	107.0	107.0	111.0	114.0	113.0
o214	39.0	58.0	65.0	70.0	90.0	109.0	110.0	103.0	111.0	107.0	113.0	107.0	109.0
o215	31.0	38.0	54.0	68.0	87.0	94.0	100.0	104.0	109.0	0.0	0.0	112.0	0.0
o216	75.0	84.0	93.0	99.0	101.0	109.0	105.0	104.0	112.0	105.0	114.0	105.0	110.0
o217	72.0	84.0	93.0	95.0	97.0	109.0	104.0	111.0	107.0	105.0	110.0	112.0	109.0
o218	72.0	90.0	92.0	104.0	0.0	104.0	106.0	108.0	0.0	106.0	108.0	0.0	114.0
o219	33.0	46.0	66.0	80.0	92.0	106.0	103.0	112.0	113.0	107.0	105.0	111.0	110.0
o220	32.0	52.0	71.0	86.0	105.0	107.0	112.0	110.0	105.0	109.0	113.0	111.0	105.0
o221	34.0	46.0	60.0	0.0	98.0	106.0	104.0	112.0	0.0	111.0	109.0	110.0	110.0
o222	78.0	95.0	100.0	111.0	110.0	108.0	112.0	111.0	110.0	112.0	105.0	108.0	110.0
o223	89.0	101.0	105.0	100.0	107.0	103.0	112.0	105.0	107.0	114.0	111.0	107.0	111.0
o224	81.0	98.0	103.0	0.0	110.0	109.0	110.0	0.0	108.0	113.0	0.0	111.0	114.0
o225	29.0	48.0	75.0	91.0	103.0	108.0	106.0	109.0	107.0	106.0	111.0	114.0	113.0
o226	32.0	48.0	56.0	89.0	97.0	107.0	112.0	107.0	111.0	109.0	112.0	110.0	107.0
o227	29.0	48.0	73.0	96.0	99.0	109.0	0.0	112.0	0.0	106.0	114.0	107.0	107.0
o228	94.0	102.0	102.0	105.0	110.0	112.0	113.0	113.0	113.0	107.0	108.0	106.0	105.0
o229	100.0	101.0	106.0	112.0	112.0	110.0	108.0	109.0	106.0	114.0	110.0	110.0	112.0
o230	99.0	105.0	104.0	105.0	112.0	105.0	0.0	113.0	0.0	110.0	111.0	105.0	0.0
o231	25.0	59.0	95.0	104.0	108.0	113.0	107.0	107.0	114.0	107.0	107.0	110.0	105.0
o232	38.0	56.0	76.0	87.0	107.0	112.0	107.0	112.0	113.0	112.0	107.0	106.0	114.0
o233	26.0	0.0	95.0	108.0	114.0	0.0	108.0	107.0	109.0	105.0	0.0	108.0	109.0
o234	101.0	105.0	106.0	111.0	105.0	111.0	113.0	112.0	113.0	108.0	107.0	109.0	111.0
o235	112.0	106.0	110.0	110.0	113.0	106.0	114.0	107.0	106.0	111.0	109.0	105.0	113.0
o236	110.0	0.0	0.0	110.0	107.0	112.0	0.0	112.0	110.0	106.0	110.0	0.0	114.0
o237	26.0	114.0	105.0	109.0	107.0	106.0	114.0	106.0	111.0	113.0	108.0	108.0	110.0
o238	109.0	113.0	113.0	112.0	109.0	109.0	105.0	107.0	107.0	105.0	111.0	110.0	110.0
o239	29.0	114.0	112.0	107.0	105.0	112.0	113.0	113.0	0.0	0.0	112.0	112.0	0.0
o240	112.0	114.0	110.0	109.0	111.0	113.0	112.0	113.0	110.0	108.0	113.0	108.0	110.0
o241	106.0	107.0	106.0	111.0	108.0	106.0	111.0	114.0	111.0	108.0	112.0	108.0	108.0
o242	105.0	112.0	108.0	0.0	109.0	0.0	0.0	108.0	114.0	114.0	108.0	114.0	110.0
o243	32.0	105.0	108.0	105.0	108.0	110.0	107.0	107.0	113.0	110.0	112.0	111.0	113.0
o244	106.0	106.0	106.0	110.0	107.0	113.0	109.0	114.0	106.0	106.0	107.0	114.0	111.0
o245	33.0	0.0	110.0	0.0	113.0	0.0	107.0	113.0	114.0	113.0	107.0	105.0	113.0
o246	109.0	107.0	107.0	111.0	106.0	114.0	107.0	107.0	112.0	114.0	114.0	111.0	111.0
o247	114.0	113.0	108.0	113.0	108.0	111.0	114.0	112.0	112.0	106.0	112.0	114.0	107.0
o248	113.0	109.0	0.0	107.0	111.0	110.0	114.0	107.0	107.0	109.0	0.0	106.0	113.0
o249	30.0	107.0	112.0	110.0	110.0	106.0	110.0	112.0	112.0	106.0	106.0	108.0	107.0
o250	114.0	114.0	113.0	110.0	108.0	108.0	114.0	112.0	107.0	109.0	113.0	114.0	111.0
o251	27.0	107.0	108.0	0.0	111.0	108.0	109.0	0.0	0.0	113.0	110.0	0.0	107.0
